São Pedro do Ivaí;RS 16 - Apucarana;3.677;3.371;3.562
São Pedro do Paraná;RS 14 - Paranavaí;1.018;910;952
São Sebastião da Amoreira;RS 18 - Cornélio Procópio;3.384;3.108;3.294
São Tomé;RS 13 - Cianorte;2.169;1.987;2.075
Sapopema;RS 18 - Cornélio Procópio;2.061;1.821;1.894
Sarandi;RS 15 - Maringá;49.915;49.915;49.915
Saudade do Iguaçu;RS 07 - Pato Branco;1.783;1.609;1.608
Sengés;RS 03 - Ponta Grossa;5.788;5.350;5.646
Serranópolis do Iguaçu;RS 09 - Foz do Iguaçu;1.539;1.393;1.463
Sertaneja;RS 18 - Cornélio Procópio;2.423;2.111;2.423
Sertanópolis;RS 17 - Londrina;8.757;8.315;7.279
Siqueira Campos;RS 19 - Jacarezinho;8.314;7.445;7.813
Sulina;RS 07 - Pato Branco;839;732;755
Tamarana;RS 17 - Londrina;3.177;2.871;2.853
Tamboara;RS 14 - Paranavaí;2.129;1.989;2.061
Tapejara;RS 13 - Cianorte;5.950;5.680;5.749
Tapira;RS 12 - Umuarama;2.123;1.881;2.039
Teixeira Soares;RS 04 - Irati;2.291;2.040;2.138
Telêmaco Borba;RS 21 - Telêmaco Borba;29.456;27.494;27.326
Terra Boa;RS 11 - Campo Mourão;7.561;6.861;7.084
Terra Rica;RS 14 - Paranavaí;6.785;6.454;6.454
Terra Roxa;RS 20 - Toledo;6.605;5.865;6.108
Tibagi;RS 21 - Telêmaco Borba;5.767;5.290;5.575
Tijucas do Sul;RS 02 - Curitiba;4.141;3.829;4.033
Toledo;RS 20 - Toledo;63.293;57.104;49.542
Tomazina;RS 19 - Jacarezinho;1.953;1.751;1.863
Três Barras do Paraná;RS 10 - Cascavel;3.190;2.838;2.942
Tunas do Paraná;RS 02 - Curitiba;1.582;1.459;1.533
Tuneiras do Oeste;RS 13 - Cianorte;2.149;1.963;2.052
Tupãssi;RS 20 - Toledo;2.975;2.975;2.975
Turvo;RS 05 - Guarapuava;3.197;2.881;3.004
Ubiratã;RS 11 - Campo Mourão;10.372;9.381;9.649
Umuarama;RS 12 - Umuarama;52.525;47.017;46.562
União da Vitória;RS 06 - União da Vitória;22.049;19.613;18.386
Uniflor;RS 15 - Maringá;844;750;792
Uraí;RS 18 - Cornélio Procópio;4.452;4.102;4.347
Ventania;RS 21 - Telêmaco Borba;3.361;3.089;3.136
Vera Cruz do Oeste;RS 10 - Cascavel;3.125;2.767;2.880
Verê;RS 08 - Francisco Beltrão;2.174;1.880;1.944
Virmond;RS 05 - Guarapuava;982;874;925
Vitorino;RS 07 - Pato Branco;3.352;3.082;3.189
Wenceslau Braz;RS 19 - Jacarezinho;7.074;6.373;6.764
Xambrê;RS 12 - Umuarama;2.099;1.901;2.041
